Id,Game,Dropdown,Joy,Anger,Calmness,Sadness,Disgust,Relaxation,Happiness,Fear,Anxiousness,Dizziness
1,HVHA,VR,81,14,35,16,59,53,85,16,16,0
2,HVHA,FS,75,0,54,39,33,52,86,6,16,0
3,HVHA,FS,69,0,28,0,0,7,52,0,9,0
4,HVHA,VR,71,0,4,0,15,0,62,25,54,71
5,HVHA,FS,28,0,54,0,46,32,23,19,35,0
6,HVHA,VR,85,0,50,0,44,40,89,22,26,34
7,HVHA,VR,85,6,32,0,0,66,83,9,36,0
8,HVHA,FS,47,5,24,0,0,66,55,0,21,0
9,HVHA,VR,86,2,65,0,0,67,78,6,3,0
10,HVHA,FS,50,13,45,9,6,35,66,36,39,5
11,HVHA,FS,48,26,0,0,0,0,64,0,35,0
12,HVHA,VR,100,0,55,0,0,0,100,0,0,100
13,HVHA,VR,78,9,6,0,0,0,30,0,38,65
14,HVHA,FS,39,26,0,0,0,4,50,20,57,0
15,HVHA,VR,5,0,1,70,0,3,0,84,80,100
16,HVHA,VR,57,0,11,0,0,22,82,0,21,43
17,HVHA,FS,13,5,3,26,0,17,51,12,75,0
18,HVHA,FS,18,65,0,38,61,0,4,55,14,0
19,HVLA,VR,70,0,25,0,0,24,51,0,0,5
20,HVLA,FS,60,10,65,0,0,60,45,0,6,0
21,HVLA,VR,68,18,51,10,13,39,73,52,17,54
22,HVLA,FS,55,18,58,12,11,34,61,33,61,6
23,HVLA,FS,53,66,0,0,0,0,32,39,29,0
24,HVLA,VR,78,64,0,0,15,0,10,0,0,19
25,HVLA,VR,67,14,0,10,0,0,31,69,32,6
26,HVLA,FS,8,83,0,33,0,0,4,44,58,0
27,HVLA,VR,99,6,51,0,0,10,89,50,74,10
28,HVLA,VR,50,10,0,0,0,0,50,5,10,0
29,HVLA,FS,60,10,75,0,0,14,91,52,100,7
30,HVLA,VR,100,24,7,0,0,5,72,7,0,0
31,HVLA,FS,57,42,0,0,0,0,26,7,0,0
32,HVLA,FS,50,10,0,0,0,10,50,20,30,0
33,HVLA,VR,42,0,0,0,0,0,68,0,67,0
34,HVLA,FS,70,0,0,0,0,32,77,33,87,13
35,LVHA,VR,71,87,82,0,0,40,44,80,41,35
36,LVHA,FS,70,7,92,0,0,50,85,30,54,20
37,LVHA,VR,86,67,35,0,0,43,86,29,13,31
38,LVHA,VR,50,30,11,30,29,14,16,45,49,72
39,LVHA,FS,55,23,100,11,0,76,58,0,25,0
40,LVHA,FS,31,75,20,50,10,10,10,50,50,10
41,LVHA,VR,21,34,0,0,4,0,7,47,8,0
42,LVHA,VR,0,0,0,0,0,0,0,52,51,23
43,LVHA,VR,44,54,0,0,0,0,28,98,100,10
44,LVHA,FS,9,0,0,19,0,0,0,87,85,0
45,LVHA,FS,0,76,0,0,0,0,0,65,33,0
46,LVHA,FS,0,0,12,25,16,0,0,41,33,0
47,LVHA,FS,0,18,0,0,12,0,0,51,44,0
48,LVHA,VR,40,24,0,0,55,0,0,77,79,40
49,LVLA,VR,72,50,4,40,4,37,100,77,67,93
50,LVLA,VR,90,60,10,50,100,0,10,100,100,90
51,LVLA,FS,85,5,40,0,0,51,70,20,6,70
52,LVLA,FS,70,40,25,75,100,0,30,75,50,50
53,LVLA,VR,35,20,10,35,50,0,40,60,69,80
54,LVLA,FS,80,0,69,16,0,75,85,0,10,0
55,LVLA,VR,20,40,20,0,10,10,10,10,10,50
56,LVLA,FS,20,0,20,0,0,30,20,0,0,0
57,LVLA,VR,62,45,64,24,16,58,61,37,18,38
58,LVLA,FS,59,30,15,32,46,36,24,49,62,0
59,LVLA,VR,88,29,97,0,0,100,100,0,0,49
60,LVLA,FS,86,0,49,0,0,75,86,19,17,0
61,LVLA,VR,80,10,70,20,0,70,95,30,85,65
62,LVLA,FS,75,0,75,0,0,85,90,10,5,0
63,LVLA,VR,61,98,25,0,4,41,75,10,8,17
64,LVLA,FS,80,0,70,0,0,40,60,0,0,0
65,LVLA,VR,52,34,43,6,4,27,42,54,67,30
66,LVLA,FS,77,23,59,0,0,41,84,23,18,0
